vertex_index,variance,hemisphere
3152,0.06794061,left
4961,0.06042066,left
7755,0.060001317,left
2241,0.059427883,left
20060,0.059046708,right
3154,0.058887836,left
4953,0.058721416,left
7754,0.05765985,left
4954,0.0569275,left
3156,0.056143645,left
11226,0.055465315,right
20061,0.055255745,right
1677,0.05524767,left
129,0.055098396,left
1170,0.054943305,left
20059,0.054662973,right
13146,0.05448057,right
6714,0.053622525,left
20023,0.05308951,right
1236,0.05222898,left
4956,0.05139873,left
3155,0.05087927,left
9284,0.050617356,left
20024,0.05034084,right
16622,0.050158855,right
20022,0.04898783,right
9422,0.048228573,left
1232,0.047933195,left
14185,0.0478507,right
14181,0.046667907,right
6793,0.046352237,left
15617,0.046047162,right
20069,0.045728326,right
3153,0.045721788,left
9281,0.04564146,left
16620,0.045605574,right
9272,0.045574553,left
531,0.045403916,left
11077,0.045403313,right
9283,0.04532382,left
12663,0.045157366,right
20070,0.044823814,right
1169,0.04464368,left
6833,0.044642538,left
9282,0.04401979,left
20431,0.04391295,right
12243,0.04363737,right
6713,0.043572634,left
10331,0.043470185,right
18258,0.043434028,right
